event_id,target_volume_source,scope,flux_source,face_stage_rule,sign_mode,boundary_mode,source_mode,has_native_face_flow,has_native_cell_flow_balance,num_nodes,num_transitions,delta_t_seconds,hecras_computation_delta_t_seconds,hdf_output_delta_t_seconds,hdf_output_matches_computation,computation_steps_per_budget_interval,storage_aligned,storage_alignment_rmse_ft3,storage_alignment_max_abs_ft3,domain_residual_rmse_ft3,hdf_path,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation
H11,hgn_target,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,11325536.128503984,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,64.90788211441651,838347.6592926552,838347.8900831175,114920.03550240702,-878.758603665723,12915.964329344746,-0.0035648445247147592
H11,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,12955339.797574496,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,58.55961893649067,660042.8713755723,660042.8520162946,146062.40951016624,-3915.8897570898393,11271.29691079662,-0.0003279841183505805
H11,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,11883829.352397403,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,656.5404679795807,838347.6592926552,838354.082588801,114927.27370293232,-918.3157173387071,1276.926744772837,-0.009347782584220655
H11,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,12960332.057022424,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,298.8810050331455,660042.8713755723,660045.2292327554,146067.08745308494,-3942.3761424507616,2208.388014352258,-0.007288939757227485
H11,hgn_target,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,234227471.3469096,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,64.90788211441651,838549.4435464636,838549.497649263,121518.61033915463,-13709.290331033095,12919.0703861067,-0.0014911071425474927
H11,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,17279948.065104917,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,58.55961893649067,660096.2813597736,660096.1789684612,146549.92268962786,-6999.629212973267,11272.207554566767,0.0005453648982919398
H11,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,234414508.50075927,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,656.5404679795807,838549.4435464636,838555.9655506457,121529.93235886862,-13748.847444706083,1277.2342398499736,-0.008640652684852857
H11,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,17289240.955304626,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,298.8810050331455,660096.2813597736,660098.659893149,146557.03203693114,-7026.115598334192,2208.5667833589655,-0.007051837796261416
H11,hgn_target,all,reconstructed_velocity_area,mean,cell_order,native_bc_only,none,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,232632459.71793383,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,64.90788211441651,1497634.420622873,1497634.5498150578,129152.48667349818,14106.276342494319,23073.230877801547,-0.0015701130382172863
H11,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,none,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,142261713.15831044,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,58.55961893649067,3113296.992317012,3113296.9882126967,239399.136444543,91230.2091113218,53164.57047968743,0.003560123991735672
H11,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,native_bc_only,none,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,232343064.9963551,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,656.5404679795807,1497634.420622873,1497638.016273039,129159.72487402346,14066.719228821348,2281.1054143879787,-0.005794681190988258
H11,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,none,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,142232497.71683103,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,298.8810050331455,3113296.992317012,3113297.492201695,239403.81438746172,91203.72272596089,10416.511721300036,-0.003553508691857252
H11,hgn_target,all,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,42068873.41055935,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,64.90788211441651,1497671.3439833464,1497671.3742756231,135750.43794046633,1275.744615126949,23073.798211989102,-0.00040928455902222336
H11,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,136980098.36744884,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,58.55961893649067,3113167.7746745544,3113167.752964154,239880.42616266457,88146.46965543837,53162.36357925177,0.0037454104667715635
H11,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,41351233.09073491,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,656.5404679795807,1497671.3439833464,1497674.9956774258,135761.75996018006,1236.1875014539644,2281.1617390262763,-0.0053989752510885565
H11,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,hdf_precipitation,False,False,1274,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,136950456.71594927,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,298.8810050331455,3113167.7746745544,3113168.2790045007,239887.53550996789,88119.98327007743,10416.07939808438,-0.003503329213974284
H11,hgn_target,all,reconstructed_velocity_area,mean,negated,reconstructed_all_touching_faces,none,False,False,12715,167,1799.9999712,30.0,1799.9999999999984,False,59.99999904,False,15325.711639019733,430306.028954771,11362213.694272332,/mnt/8tb_hdd2/joyce/hecras-dataset/origin/Linux_RAS_v66/Minxiong_hgn_test_h11h15/outputs_seed/planH11/Minxiong.p01.hdf,64.90788211441651,838347.6592926552,838347.4335275313,114919.53532216178,884.2739283820771,12915.957295444221,0.0035648445247147592
