event_id,target_volume_source,scope,flux_source,face_stage_rule,sign_mode,boundary_mode,source_mode,has_native_face_flow,has_native_cell_flow_balance,num_nodes,num_transitions,delta_t_seconds,hecras_computation_delta_t_seconds,hdf_output_delta_t_seconds,hdf_output_matches_computation,computation_steps_per_budget_interval,storage_aligned,storage_alignment_rmse_ft3,storage_alignment_max_abs_ft3,domain_residual_rmse_ft3,hdf_path,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation
H1,hgn_target,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,11147344.864956247,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1149.7584853730057,93861.44328225567,93818.27317478532,7704.986484598101,-842.2767501019781,81.59824377756057,0.04272480513419461
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,411673.1865508909,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31414.32960305864,31430.541368549173,3633.961722784796,-192.2248616483755,64.88007583272639,-0.026437283048645933
H1,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,11028090.988812286,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1414.7704046751048,93861.44328225567,93809.39593298481,7658.4199220138,-833.5252924259566,66.30715176327688,0.04347189032470665
H1,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,none,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,442650.28120896907,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,613.6677145197725,31414.32960305864,31409.45017250064,3621.5575711999077,-195.1100037466101,51.18315568724387,0.017317947067999686
H1,hgn_target,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,11999783.61322503,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1149.7584853730057,93863.07356690426,93819.80637817203,7711.525972879073,-901.9122049815245,81.59957727794887,0.04273358224590626
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,430076.26218121976,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31414.524638530213,31430.712132008834,3639.4970622011465,-206.55787676335757,64.88042832892054,-0.026423770076366752
H1,hdf_reconstructed,all,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,11879940.34053914,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1414.7704046751048,93863.07356690426,93810.91921625476,7664.521796014959,-893.1607473055029,66.30822846325937,0.0434821150471344
H1,hdf_reconstructed,zone_3,reconstructed_velocity_area,mean,cell_order,reconstructed_all_touching_faces,hdf_precipitation,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,460256.4273939984,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,613.6677145197725,31414.524638530213,31409.625761926178,3626.985122064596,-209.44301886159218,51.18344181835584,0.017322952875792417
H1,hgn_target,all,reconstructed_velocity_area,mean,cell_order,native_bc_only,none,True,True,12715,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,3194076.8414393775,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,1149.7584853730057,54060.18978958644,54048.463169952935,7171.038026986942,-212.2026435192655,47.00853601651697,0.020204933058422216
H1,hgn_target,zone_3,reconstructed_velocity_area,mean,cell_order,native_bc_only,none,True,True,1274,48,1799.9999712,30.0,29.999999999999893,True,59.99999904,False,3863.649841127896,177406.298159439,383797.9794790465,/mnt/8tb_hdd2/joyce/Minxiong/Minxiong_new/planH1/Minxiong.p03.hdf,484.44057694357963,31442.79884427222,31459.041797642487,3640.7602670952915,-174.27479707473324,64.93890746337371,-0.02646240900394897
