variant,target_rms_ft3,budget_rms_ft3,residual_rmse_ft3,residual_mae_ft3,residual_bias_ft3,relative_rmse,correlation,domain_target_rms_ft3,domain_budget_rms_ft3,domain_residual_rmse_ft3
cell_balance_trapz,1414.770404675106,1927.2718781836218,1184.7103741951048,296.59180519460466,-203.43398222080606,0.8373870207351184,0.7893018721926752,1910959.605190265,4711977.044067457,3065463.776181184
cell_balance_rect_left,1414.770404675106,1927.26886906723,1187.615635760787,297.35865792264474,-203.3442756221966,0.839440542321435,0.7880069239892195,1910959.605190265,4711151.867689183,3064842.950341826
cell_balance_rect_right,1414.770404675106,1927.441875635276,1182.0702753646988,295.9549287731955,-203.52368881941547,0.8355209237191773,0.7905260151799764,1910959.605190265,4712803.069817876,3066086.0039432556
precipitation_volume,1414.770404675106,76.13040208870173,1409.6544346946223,184.78057399901317,86.44888059319831,0.9963838867680735,0.021187632267543725,1910959.605190265,885046.7803855283,1310627.8217866654
cell_balance_trapz_minus_precipitation,1414.770404675106,1911.0001715565447,1166.7600202225633,329.77577913843766,-143.79852734125964,0.8246991995075718,0.7914570332612585,1910959.605190265,3856487.026919018,2187272.6892076046
cell_balance_trapz_plus_precipitation,1414.770404675106,1946.3873729116922,1207.2034099130224,266.46906472503656,-263.0694371003524,0.8532857387487193,0.7866832896191179,1910959.605190265,5576699.62843475,3946718.9051345075
zero_budget,1414.770404675106,0.0,1414.770404675106,148.82680754488575,146.0843354727447,1.0,nan,1910959.605190265,0.0,1910959.605190265
negative_cell_balance_trapz,1414.770404675106,1927.2718781836218,3166.759496715604,563.2795122330981,495.6026531662956,2.238355768717704,-0.7893018721926752,1910959.605190265,4711977.044067457,6504761.363024492
area_extrapolated_target::cell_balance_trapz,1942.9008169452063,1927.2718781836218,141.460403788058,61.574397402640194,59.726161354127676,0.0728088652566805,0.9977182208928864,5577505.867202747,4711977.044067457,885695.93786768
area_extrapolated_target::cell_balance_trapz_plus_precipitation,1942.9008169452063,1946.3873729116922,119.16919446873001,2.904180803493762,0.09070647458128611,0.06133570660395209,0.9980371235774201,5577505.867202747,5576699.62843475,2173.0146666426394
area_extrapolated_target::cell_balance_trapz_minus_precipitation,1942.9008169452063,1911.0001715565447,193.423036409342,121.05647935768908,119.36161623367408,0.09955373672314273,0.9967866112567584,5577505.867202747,3856487.026919018,1770741.5039071788
