metric_group,rollout_length,experiment,value
training_final_total_loss,,h1h6_w1e9_e5_full,0.00010657
training_final_total_loss,,h1h6_noface_e5_full,0.000086494
training_final_zone3_volume_rmse,,h1h6_w1e9_e5_full,0.0063732
training_final_zone3_volume_rmse,,h1h6_noface_e5_full,0.0082130
training_final_zone3_wd_rmse,,h1h6_w1e9_e5_full,0.014468
training_final_zone3_wd_rmse,,h1h6_noface_e5_full,0.013300
face_pred_residual_rmse,10,h1h6_w1e9_e5_full,171.3835444132487
face_pred_residual_rmse,10,h1h6_noface_e5_full,186.734849802653
face_zone3_pred_residual_rmse,10,h1h6_w1e9_e5_full,146.72809028625488
face_zone3_pred_residual_rmse,10,h1h6_noface_e5_full,186.64521357218425
face_pred_residual_rmse,30,h1h6_w1e9_e5_full,174.9977515326606
face_pred_residual_rmse,30,h1h6_noface_e5_full,205.02732009887694
face_zone3_pred_residual_rmse,30,h1h6_w1e9_e5_full,159.45929506089954
face_zone3_pred_residual_rmse,30,h1h6_noface_e5_full,217.1198894076877
face_pred_residual_rmse,45,h1h6_w1e9_e5_full,173.56394523338037
face_pred_residual_rmse,45,h1h6_noface_e5_full,210.96915814435042
face_zone3_pred_residual_rmse,45,h1h6_w1e9_e5_full,162.2554217868381
face_zone3_pred_residual_rmse,45,h1h6_noface_e5_full,228.33143378363715
rollout_wd_rmse,30,h1h6_w1e9_e5_full,0.13087221015141243
rollout_wd_rmse,30,h1h6_noface_e5_full,0.1253435143114378
rollout_volume_rmse,30,h1h6_w1e9_e5_full,0.10741269418245389
rollout_volume_rmse,30,h1h6_noface_e5_full,0.1112218381009168
rollout_zone3_wd_rmse,30,h1h6_w1e9_e5_full,0.1833049405935324
rollout_zone3_wd_rmse,30,h1h6_noface_e5_full,0.16954768106548324
rollout_zone3_volume_rmse,30,h1h6_w1e9_e5_full,0.09588263576022453
rollout_zone3_volume_rmse,30,h1h6_noface_e5_full,0.10859406925737858
rollout_wd_rmse,45,h1h6_w1e9_e5_full,0.18549873548456364
rollout_wd_rmse,45,h1h6_noface_e5_full,0.17570164516499198
rollout_volume_rmse,45,h1h6_w1e9_e5_full,0.14223772561591533
rollout_volume_rmse,45,h1h6_noface_e5_full,0.1523853841582658
rollout_zone3_wd_rmse,45,h1h6_w1e9_e5_full,0.2554401014000177
rollout_zone3_wd_rmse,45,h1h6_noface_e5_full,0.23521421073280552
rollout_zone3_volume_rmse,45,h1h6_w1e9_e5_full,0.13049395887215656
rollout_zone3_volume_rmse,45,h1h6_noface_e5_full,0.15309419387399598
