category,rollout_length,checkpoint,rollout_rmse,rollout_volume_rmse,rollout_wd_rmse,zone_3_rollout_rmse,zone_3_rollout_volume_rmse,zone_3_rollout_wd_rmse,pred_face_residual_rmse,zone_3_pred_face_residual_rmse
rollout,30,h1h6_zone1_w1e9_e5_full,0.10657975496724248,0.09638349571679201,0.11580538127778305,0.11164620955888596,0.07507387499790638,0.1388902515328179,,
rollout,30,h1h6_zone1_e5_full,0.10643970349079204,0.10851920484565199,0.1042224426753819,0.10942596812835997,0.08826141035080784,0.12698075176320142,,
rollout,30,h1h6_w1e9_e5_full,0.11976886057915787,0.10741269566222197,0.1308722077247997,0.14629088116085365,0.09588263315510832,0.1833049311199122,,
rollout,30,h1h6_noface_e5_full,0.11852523411831094,0.11122184041887521,0.12534351475640304,0.14242422583823403,0.10859406953936236,0.1695476837766667,,
rollout,45,h1h6_zone1_w1e9_e5_full,0.14747143193941425,0.13027666181463887,0.16273695896207183,0.15419981432561244,0.10306240174988354,0.19215838369671945,,
rollout,45,h1h6_zone1_e5_full,0.14692296989055142,0.14665015711000673,0.1470442541288557,0.1532891440619197,0.12508613062953508,0.17687298774512278,,
rollout,45,h1h6_w1e9_e5_full,0.16541967216741155,0.14223772795801914,0.18549873573636566,0.20284790366681085,0.13049396214558295,0.25544010266247724,,
rollout,45,h1h6_noface_e5_full,0.16449596143362147,0.15238538395820392,0.17570164416123318,0.1985269920176102,0.15309419453626982,0.23521421805231107,,
face_residual,10,h1h6_zone1_w1e9_e5_full,,,,,,,174.9773499806722,148.9560806274414
face_residual,10,h1h6_w1e9_e5_full,,,,,,,171.38355712890626,146.72809677124025
face_residual,10,h1h6_noface_e5_full,,,,,,,186.7348508199056,186.64520950317382
face_residual,30,h1h6_zone1_w1e9_e5_full,,,,,,,188.82119047376844,175.89467557271323
face_residual,30,h1h6_zone1_e5_full,,,,,,,223.8250356886122,232.10338838365342
face_residual,30,h1h6_w1e9_e5_full,,,,,,,174.99776204427084,159.4593083275689
face_residual,30,h1h6_noface_e5_full,,,,,,,205.0273284064399,217.11990076700846
face_residual,45,h1h6_zone1_w1e9_e5_full,,,,,,,188.39688217728227,180.89507853190105
face_residual,45,h1h6_zone1_e5_full,,,,,,,240.96927179407191,262.44840336552375
face_residual,45,h1h6_w1e9_e5_full,,,,,,,173.56396004005714,162.2554404647262
face_residual,45,h1h6_noface_e5_full,,,,,,,210.96912643997757,228.33139071994358
