face_id,src,dst,face_length,normal_x,normal_y,center_distance,elevation_src,elevation_dst,elevation_diff,bed_slope,manning_src,manning_dst,manning_mean,manning_diff,ip_src,ip_dst,ip_mean,ip_diff,landcover_ip_src,landcover_ip_dst,area_src,area_dst,area_mean,area_ratio,zone_src,zone_dst,same_zone,zone3_touching,zone3_internal,surface_gradient_rms,face_target_mean,face_target_std,face_target_rms
0,3,15,100,-0,-1,100,6.935787201,23.99691963,17.06113243,0.1706113243,0.045,0.045,0.045,0,10,10,10,0,10,10,8439.893555,10000,9219.946777,1.184849067,0,0,1,0,0,0.06233873312,1288.621582,11614.26562,11685.53516
1,3,4,86.48226929,1,-0,100,6.935787201,3.85188055,-3.083906651,-0.03083906651,0.045,0.045,0.045,0,10,10,10,0,10,10,8439.893555,10517.81006,9478.851807,1.246201743,0,0,1,0,0,0.00698727377,-310209.5312,301501.1562,432588.5938
2,3,2,82.31560516,-1,-0,100,6.935787201,7.773703098,0.837915897,0.00837915897,0.045,0.045,0.045,0,10,10,10,0,10,10,8439.893555,8023.227295,8231.560425,1.051932501,0,1,0,0,0,0.001914983257,308154.4062,295000.0312,426596.0312
3,15,16,100,1,-0,100,23.99691963,24.50166702,0.504747391,0.00504747391,0.045,0.045,0.045,0,10,10,10,0,10,10,10000,10000,10000,1,0,0,1,0,0,0.002437943855,-100839.9062,87129.03906,133267.2344
4,15,14,100,-1,-0,100,23.99691963,23.34445572,-0.652463913,-0.00652463913,0.045,0.045,0.045,0,10,10,10,0,10,10,10000,10000,10000,1,0,0,1,0,0,0.003706933673,113580.6875,93186.73438,146916.0938
5,15,30,100,-0,-1,100,23.99691963,23.933424,-0.063495636,-0.00063495636,0.045,0.045,0.045,0,10,10,10,0,10,10,10000,12185.34424,11092.67212,1.218534424,0,0,1,0,0,0.0004488222032,-11777.83984,13083.46777,17603.82422
6,16,31,100,-0,-1,100,24.50166702,24.45051002,-0.051156998,-0.00051156998,0.045,0.045,0.045,0,10,10,10,0,10,10,10000,12132.14746,11066.07373,1.213214746,0,0,1,0,0,0.0003495046828,-49182.93359,37794.27344,62027.16016
7,16,17,100,1,-0,100,24.50166702,8.626847267,-15.87481976,-0.1587481976,0.045,0.045,0.045,0,10,10,10,0,10,10,10000,16241.07153,13120.53577,1.624107153,0,0,1,0,0,0.06197649166,-68509.58594,66507.09375,95481.71094
8,16,4,100,-0,1,100,24.50166702,3.85188055,-20.64978647,-0.2064978647,0.045,0.045,0.045,0,10,10,10,0,10,10,10000,10517.81006,10258.90503,1.051781006,0,0,1,0,0,0.06808858427,16557.61914,13434.31738,21322.1875
9,70,69,100,-1,-0,100,18.12508392,18.11275864,-0.012325287,-0.00012325287,0.045,0.12,0.0825,0.075,10,85,47.5,75,10,85,10629.00244,10000,10314.50122,1.062900244,0,0,1,0,0,9.313311099e-05,2330.481445,2451.286865,3382.299561
