hydrograph_id,all_face_abs_max,all_face_count,all_face_mae,all_face_near_zero_fraction,all_face_negative_fraction,all_face_positive_fraction,all_face_rms,zone3_internal_abs_max,zone3_internal_count,zone3_internal_mae,zone3_internal_near_zero_fraction,zone3_internal_negative_fraction,zone3_internal_positive_fraction,zone3_internal_rms,zone3_touch_abs_max,zone3_touch_count,zone3_touch_mae,zone3_touch_near_zero_fraction,zone3_touch_negative_fraction,zone3_touch_positive_fraction,zone3_touch_rms
H10,10971798.0,3435960,58628.60190140692,0.08285631963119477,0.45677801837041176,0.46039418386709974,300064.89287968527,8552645.0,241800,24591.175886688136,0.13129859387923903,0.44737386269644336,0.42146815550041355,246901.1187555155,8552645.0,427680,39881.66900434304,0.14884726898615788,0.4353184624017957,0.4159301346801347,270886.89045610477
H11,11345113.0,3435960,58814.39477757353,0.08255392961501298,0.4577043970244124,0.459765829637132,304186.5161229147,8810237.0,241800,25076.55290150068,0.13044251447477254,0.4476799007444169,0.42196856906534325,251938.49937402995,8810237.0,427680,40587.89878753702,0.14798213617658063,0.4356060606060606,0.41647727272727275,276411.8045124334
H12,11528698.0,3435960,60535.98517358845,0.08256411599669379,0.4578775655129862,0.45958101956949443,312900.685850142,8942460.0,241800,25715.03280744289,0.1305955334987593,0.4479114971050455,0.4215798180314309,258443.93071294634,8942460.0,427680,41701.949671890616,0.1481177515899738,0.43570426487093156,0.416241114852226,283594.1010523588
H13,11644339.0,3435960,62553.31644466398,0.08151259036775749,0.4568932700031432,0.46161771382670347,320034.13481170277,9018785.0,241800,26318.020133453985,0.13064929693961952,0.448014888337469,0.4214309346567411,263420.0471930051,9018785.0,427680,42781.962248927266,0.1479751215862327,0.435753367003367,0.4163510101010101,289098.6319984956
H14,9977627.0,3435960,57415.83299223126,0.08597131514918684,0.4536272249967986,0.4604270713279549,290408.0912547823,7765781.5,241800,23166.369421262265,0.1360545905707196,0.4454921422663358,0.4185277088502895,232338.14564700762,7765781.5,427680,37822.337786730684,0.153675645342312,0.4330995136550692,0.41329031051253273,255768.3533297327
H15,9761751.0,3435960,54904.07657741152,0.0874081770451344,0.45383182574884456,0.45878182516676563,280776.54250409163,7632767.0,241800,22417.605358076562,0.13670388751033913,0.44495037220843675,0.4184119106699752,224433.9960090713,7632767.0,427680,36505.905015371485,0.15458052749719417,0.4326225215114104,0.4128507295173962,247440.10515004687
H16,10704807.0,3435960,59078.22360361094,0.08381849614081655,0.4552919708029197,0.4609154355696807,300838.6327274596,8361207.0,241800,24350.641965383937,0.1332051282051282,0.4468403639371381,0.4200744416873449,244546.34034031388,8361207.0,427680,39637.08981226656,0.150703797231575,0.43460063598952486,0.41478208005985784,268576.0633485897
H17,11813142.0,3435960,61412.2295548221,0.08139471937973666,0.45781004435441625,0.4608191015029279,317401.9378037591,9131641.0,241800,26266.867007145593,0.12980562448304384,0.4480479735318445,0.42224979321753514,263087.99047523225,9131641.0,427680,42563.72114971375,0.14719416386083053,0.4360526561915451,0.4168373550317995,288679.6873241294
H18,12032229.0,3435960,64051.062618706,0.08169041548795679,0.45822623080594654,0.46010721894317747,329775.54583469924,9279132.0,241800,27191.35212985831,0.1301157981803143,0.4482464846980976,0.42172043010752686,272374.9001137184,9279132.0,427680,44179.824244085234,0.1474653946876169,0.4360082304526749,0.41659184436962216,298857.09331613383
H19,11169512.0,3435960,60140.776514532525,0.08196311947752594,0.4563303996554093,0.4617318013015285,306111.2535874738,8682434.0,241800,25145.78780173941,0.13090984284532672,0.44759718775847807,0.4216004962779156,251874.29709844958,8682434.0,427680,40827.817113141,0.14835157126823795,0.43546576879910215,0.4162621586232697,276314.6369753403
