split,epoch,edge_flux_rms_ft3,face_relative_rmse,face_rmse_ft3,num_batches,raw_face_loss,selected_face_loss,target_rms_ft3,zone3_edge_flux_rms_ft3,zone3_face_relative_rmse,zone3_face_rmse_ft3,zone3_target_rms_ft3
train_loop,0,,,,40,1936078153.0813966,3.9212589263916016,,,,,
train_eval,0,60.63305171539909,1.0000097988915941,92700.9153281764,,2076528133.241286,2.8390258225171188,92700.00697085731,48.68775933667233,1.0003268012624449,28461.973469840854,28452.675099698336
eval,0,59.4016170501709,1.0000097039389717,91416.16316511824,,1770358717.6137135,2.776093718167898,91415.2760768581,47.143182032817116,1.000375011760316,25942.231165009576,25932.506170221277
train_loop,1,,,,40,3494280529.8697634,2.422293058037758,,,,,
train_eval,1,44.95128203693189,1.0000084164261764,92700.78717362254,,2076514510.302444,1.883096793568448,92700.00697085731,29.5874542123393,1.0001474384682731,28456.87011853331,28452.675099698336
eval,1,44.83462957433752,1.0000084569496108,91416.04917124155,,1770344397.4505203,1.9284936995119661,91415.2760768581,30.289099293786126,1.0001744316706187,25937.02962059588,25932.506170221277
train_loop,2,,,,40,2521189071.281665,2.357223454117775,,,,,
train_eval,2,42.72549823083376,1.0000051350200667,92700.48298725329,,2076505629.0520613,2.7716235196904133,92700.00697085731,41.884430273583064,1.0002613751439968,28460.111921749616,28452.675099698336
eval,2,42.958815368446146,1.0000051525288571,91415.74709670608,,1770333806.2829325,2.7286853290892936,91415.2760768581,41.58342755807413,1.0003084129153432,25940.504090051392,25932.506170221277
train_loop,3,,,,40,2461863476.7411833,2.539555960893631,,,,,
train_eval,3,70.95044260903408,1.0000075943073221,92700.71096319902,,2076472286.8731701,3.7248838628201106,92700.00697085731,56.170910477638245,1.0002798894758174,28460.63870401759,28452.675099698336
eval,3,73.34965035722063,1.0000074060023376,91415.95309860642,,1770314252.017135,3.837384241658288,91415.2760768581,59.471861323794805,1.000342690406332,25941.392991297955,25932.506170221277
train_loop,4,,,,40,1651795549.3541,2.549093168973923,,,,,
train_eval,4,52.64662534939615,1.0000060157032804,92700.56462659333,,2076478133.7388952,3.007607575309904,92700.00697085731,40.91494462364599,1.0003232842014904,28461.873400048207,28452.675099698336
eval,4,52.14874618117874,1.0000057796325599,91415.80442356419,,1770317168.0496786,3.0088035899239616,91415.2760768581,40.651029174392285,1.0003514770554374,25941.620851130097,25932.506170221277
