split,epoch,edge_flux_rms_ft3,face_relative_rmse,face_rmse_ft3,num_batches,raw_face_loss,selected_face_loss,target_rms_ft3,zone3_edge_flux_rms_ft3,zone3_face_relative_rmse,zone3_face_rmse_ft3,zone3_target_rms_ft3
train_loop,0,,,,40,1853289514.0677795,3.3645368814468384,,,,,
train_eval,0,99.4002717294191,1.0000169013276037,92701.57372404399,,2076440604.2129545,2.7088082017082917,92700.00697085731,55.26750467952929,1.000342164042855,28462.410582040484,28452.675099698336
eval,0,98.9990072508116,1.0000167513488605,91416.80740603885,,1770303942.7463248,2.6981533056980855,91415.2760768581,55.08821129154514,1.000406669561624,25943.052131137334,25932.506170221277
train_loop,1,,,,40,1613724560.572354,2.4180314987897873,,,,,
train_eval,1,86.34892564070852,1.000015623099815,92701.45523231907,,2076468890.178472,2.3990585235388657,92700.00697085731,44.54611110687256,1.0002153914494432,28458.803562628596,28452.675099698336
eval,1,86.15612385724042,1.0000155531534802,91416.69787267737,,1770323293.7121937,2.3608256344859666,91415.2760768581,43.883575748752904,1.0002480161670533,25938.9378510037,25932.506170221277
train_loop,2,,,,40,2170186974.9161863,2.0729691475629806,,,,,
train_eval,2,70.68040092995292,1.0000130525749302,92701.21694464433,,2076472211.1483307,1.523477055328457,92700.00697085731,29.19691869459654,1.000133751899336,28456.480699034113,28452.675099698336
eval,2,70.3749465684633,1.0000129084619902,91416.45610747466,,1770327669.7537818,1.5859757742366276,91415.2760768581,29.579193643621498,1.0001599617400743,25936.654379032752,25932.506170221277
train_loop,3,,,,40,1924730339.947966,1.6502121269702912,,,,,
train_eval,3,57.46405168583519,1.0000120287728973,92701.12203818874,,2076480819.2580519,3.720196463559803,92700.00697085731,56.339474728232936,1.0004343918851182,28465.034710871547,28452.675099698336
eval,3,56.84964409390011,1.000012001875606,91416.37323163007,,1770332101.6551414,3.7947442547695056,91415.2760768581,57.4003994142687,1.0005025336570579,25945.538127383672,25932.506170221277
train_loop,4,,,,40,1732554608.3346953,2.671964445710182,,,,,
train_eval,4,50.52593099443536,1.0000105123371754,92700.98146458676,,2076483953.7593126,3.5392644895534766,92700.00697085731,53.136049251807364,1.0003027397401179,28461.288855163675,28452.675099698336
eval,4,51.21068253388276,1.000010259728395,91416.21397276182,,1770335221.3809793,3.5568027431900435,91415.2760768581,55.045488396206416,1.00036751244463,25942.036688959277,25932.506170221277
