split,epoch,edge_flux_rms_ft3,face_relative_rmse,face_rmse_ft3,num_batches,raw_face_loss,selected_face_loss,target_rms_ft3,zone3_edge_flux_rms_ft3,zone3_face_relative_rmse,zone3_face_rmse_ft3,zone3_target_rms_ft3
train_loop,0,,,,40,9321358156.8,0.10410147766815499,,,,,
train_eval,0,10532.05244686729,1.0044097625044832,93108.79198576274,,9501738950.526316,0.1059326853168099,92700.00697085731,11217.868268464741,1.2131745247466819,34518.060591848276,28452.675099698336
eval,0,10326.584789379223,1.0043688689461185,91814.65743771115,,9249964874.378378,0.10099808193705473,91415.2760768581,11136.1884765625,1.240205246713254,32161.630212732263,25932.506170221277
train_loop,1,,,,40,7952204358.4,0.0885595190920867,,,,,
train_eval,1,11205.001288163034,0.9989951615917805,92606.85844341078,,9387512268.842106,0.10198881445945804,92700.00697085731,8829.015796059057,1.1519507261366806,32776.07974162855,28452.675099698336
eval,1,11040.785149651605,0.9991842529940983,91340.70433910473,,9141469120.0,0.09733499461986325,91415.2760768581,8745.108365445523,1.1711138849666993,30369.918047930743,25932.506170221277
train_loop,2,,,,40,10886219846.4,0.11989287165924907,,,,,
train_eval,2,28762.74226138466,1.020763996555214,94624.82959626851,,9624199146.526316,0.09618605881941651,92700.00697085731,15751.946982935855,1.311687023345431,37321.00470773797,28452.675099698336
eval,2,28567.97658889358,1.0217221825040503,93401.01538745777,,9383568192.0,0.0921078777645488,91415.2760768581,15679.498627533783,1.3519695620868495,35059.95901076858,25932.506170221277
train_loop,3,,,,40,10643719264.0,0.11080164280720055,,,,,
train_eval,3,36910.79851973684,1.044082794816346,96786.48235762746,,9939597425.68421,0.09302723812288605,92700.00697085731,24803.233385587995,1.5502669087071494,44109.24067125822,28452.675099698336
eval,3,37011.21333931588,1.047307959004441,95739.94620988176,,9732518834.162163,0.08896751665963314,91415.2760768581,24895.479848500843,1.6227341357621732,42081.56298828125,25932.506170221277
train_loop,4,,,,40,9181302470.4,0.08678382695652545,,,,,
train_eval,4,31976.654791581004,1.00618199424928,93273.07788085938,,9301084136.842106,0.08940780178971564,92700.00697085731,12247.873584948087,1.2085477136512894,34386.415439003395,28452.675099698336
eval,4,31771.7744140625,1.0075114507490393,92101.93742081926,,9071878809.945946,0.08532132360631146,91415.2760768581,12140.113129486908,1.2376624920578043,32095.690211940455,25932.506170221277
