split,epoch,edge_flux_rms_ft3,face_relative_rmse,face_rmse_ft3,num_batches,raw_face_loss,selected_face_loss,target_rms_ft3,zone3_edge_flux_rms_ft3,zone3_face_relative_rmse,zone3_face_rmse_ft3,zone3_target_rms_ft3
train_loop,0,,,,40,2096850671.25,0.03511380719428416,,,,,
train_eval,0,9376.963266473067,1.0056284044187709,93221.76009971218,,2194754613.1842103,0.03448308409592995,92700.00697085731,10771.563670911288,1.2124018506002687,34496.075945402445,28452.675099698336
eval,0,9393.857573638092,1.0058360612103798,91948.78122360642,,1890589266.2162163,0.030109287038244104,91415.2760768581,10838.435606260557,1.2433785930549124,32243.923036317567,25932.506170221277
train_loop,1,,,,40,1585487000.05,0.02805825948016718,,,,,
train_eval,1,8708.773462395919,1.002835566175833,92962.86397512336,,2128131917.9736843,0.0310539382986271,92700.00697085731,8908.523176494398,1.153347587925442,32815.82419626336,28452.675099698336
eval,1,8733.995377824112,1.0030141118716858,91690.8119457348,,1825146351.4864864,0.027269371203146875,91415.2760768581,8949.8674679318,1.177464236186749,30534.598570127746,25932.506170221277
train_loop,2,,,,40,1990462758.3,0.03102720226161182,,,,,
train_eval,2,9397.677633988229,1.0000804603605822,92707.46564684417,,2083971006.5657895,0.028697978460465828,92700.00697085731,10742.95353618421,1.1754043669779035,33443.39856438888,28452.675099698336
eval,2,9250.190868480786,1.0001835381247495,91432.0542652027,,1783282649.0270271,0.024864250020048505,91415.2760768581,10560.782516891892,1.1978009831381407,31061.98138592694,25932.506170221277
train_loop,3,,,,40,1180658989.5,0.020547805179376155,,,,,
train_eval,3,9395.007631803814,0.9990314223560254,92610.21981650905,,2099327354.875,0.027338917962544274,92700.00697085731,12561.279841372841,1.196452049925924,34042.261448910365,28452.675099698336
eval,3,9071.6565304318,0.9988908715349251,91313.88479201858,,1792603079.837838,0.023628263305589505,91415.2760768581,12183.92970069679,1.2182511739894142,31592.306086359797,25932.506170221277
train_loop,4,,,,40,2366609187.8,0.029731471350532956,,,,,
train_eval,4,11189.885381598222,0.9979104748032083,92506.30797054894,,2076589686.1973684,0.027179430530323817,92700.00697085731,15274.901049162212,1.2362822234860804,35175.53643638209,28452.675099698336
eval,4,10960.097629856418,0.9980254288703613,91234.77011190879,,1782233623.6216216,0.024230339485724027,91415.2760768581,15039.506855732685,1.2690049852855319,32908.47961095862,25932.506170221277
