split,epoch,edge_flux_rms_ft3,face_relative_rmse,face_rmse_ft3,num_batches,raw_face_loss,selected_face_loss,target_rms_ft3,zone3_edge_flux_rms_ft3,zone3_face_relative_rmse,zone3_face_rmse_ft3,zone3_target_rms_ft3
train_loop,0,,,,40,2945910753.71272,4.828631579875946,,,,,
train_eval,0,87.42132126657586,0.9999806034148421,92698.20890727796,,2076388639.1922407,2.698664385237192,92700.00697085731,52.0014882213191,1.0002145339295576,28458.7791638939,28452.675099698336
eval,0,88.13035109236434,0.9999810249160023,91413.54146431587,,1770251391.4867587,2.684933216185183,91415.2760768581,51.928410272340514,1.0002498249168197,25938.984756418176,25932.506170221277
train_loop,1,,,,40,1060957535.6381149,2.1709173172712326,,,,,
train_eval,1,54.49859467305635,0.9999705595232353,92697.27783845601,,2076378935.0910091,2.1409911770177517,92700.00697085731,34.832017051546195,1.000147710617968,28456.877861920155,28452.675099698336
eval,1,54.993215328938255,0.9999708743244394,91412.61354518581,,1770241915.8551743,2.183648281000756,91415.2760768581,35.34368159319904,1.0001796971678596,25937.166168135565,25932.506170221277
train_loop,2,,,,40,2100484801.3556733,2.2258406311273573,,,,,
train_eval,2,58.53337319901115,0.9999656537012004,92696.82306871917,,2076380784.4083755,2.607930587702676,92700.00697085731,37.611701943372424,1.000084309412957,28455.07392803305,28452.675099698336
eval,2,58.753835678100586,0.9999663769052974,91412.20241237331,,1770241383.9540327,2.575659313717404,91415.2760768581,37.730815243076634,1.0001107176782746,25935.377357096284,25932.506170221277
train_loop,3,,,,40,1913937472.1444016,1.7498208552598953,,,,,
train_eval,3,46.56368362276178,0.999967852325076,92697.02688116777,,2076368850.0852268,1.7492949354805445,92700.00697085731,26.599992322294337,1.0000389319032186,28453.78281649163,28452.675099698336
eval,3,46.39488975421803,0.9999685596419421,91412.40194784629,,1770233305.7910845,1.7176416782108512,91415.2760768581,26.39564155887913,1.0000478504618318,25933.747052617975,25932.506170221277
train_loop,4,,,,40,1838258648.089566,2.220623657107353,,,,,
train_eval,4,40.46313269514786,0.9999708515826563,92697.30491236637,,2076372586.3954773,1.4147612789743824,92700.00697085731,24.957641861940687,1.0000725922018454,28454.740542032217,28452.675099698336
eval,4,40.093836243088184,0.9999715814040746,91412.67818306587,,1770238279.3466377,1.4098037473253302,91415.2760768581,24.665235970471358,1.0000804086320059,25934.591367566907,25932.506170221277
